criterion,splitter,max_features,max_depth,min_samples_split,min_samples_leaf,max_leaf_nodes,min_impurity_decrease,ccp_alpha,fitness_score,generation
entropy,best,sqrt,26,7,7,6,0.01650370174372224,0.004578188932813778,0.7134738500935683,33
entropy,best,,26,6,7,6,0.009597972089634052,0.01074953121613139,0.8019304639022948,33
entropy,best,,27,6,7,6,0.009419581599845813,0.009107912176866887,0.8019304639022948,33
entropy,best,,26,5,7,10,0.01650370174372224,0.009107912176866887,0.8089727174234216,33
entropy,best,,26,6,7,6,0.01650370174372224,0.022063382512038744,0.8019994090416626,33
entropy,best,sqrt,26,6,7,6,0.01650370174372224,0.01074953121613139,0.7134738500935683,34
entropy,best,,27,6,7,6,0.01650370174372224,0.009107912176866887,0.8117896188318724,34
entropy,random,sqrt,26,6,7,6,0.01650370174372224,0.01074953121613139,0.6643258150300404,34
entropy,best,,25,6,7,6,0.01650370174372224,0.009107912176866887,0.8117896188318724,34
entropy,best,log2,26,6,7,6,0.01650370174372224,0.009018425665969826,0.7401654683344824,34
entropy,best,,26,6,7,9,0.022637362446522848,0.009107912176866887,0.8019994090416626,34
entropy,random,,26,6,7,6,0.01650370174372224,0.01074953121613139,0.792169802028957,34
entropy,best,,25,6,7,6,0.01650370174372224,0.0,0.8117896188318724,34
entropy,best,,25,6,7,9,0.01650370174372224,0.0,0.8089727174234216,35
entropy,best,,26,6,7,6,0.01650370174372224,0.0,0.8117896188318724,35
gini,best,,25,6,7,6,0.01650370174372224,0.009107912176866887,0.7907613513247316,35
gini,best,,25,6,7,6,0.00932565235180127,0.006730168341372579,0.8019304639022948,35
entropy,best,log2,25,6,7,6,0.01650370174372224,0.009107912176866887,0.7401654683344824,35
entropy,best,,25,6,7,6,0.01650370174372224,0.02099496691012817,0.8019994090416626,35
entropy,best,,25,6,7,6,0.02409218800472719,0.006234111551611623,0.7963853048360091,35
entropy,best,,25,5,7,6,0.01650370174372224,0.0,0.8117896188318724,36
gini,best,sqrt,25,7,8,6,0.01650370174372224,0.0,0.6643258150300404,36
entropy,best,log2,25,7,7,6,0.01650370174372224,0.0,0.7401654683344824,36
entropy,random,,25,6,7,9,0.01650370174372224,0.0,0.7977740569289866,36
entropy,best,log2,25,6,7,6,0.016067237639910924,0.0,0.7401654683344824,36
entropy,best,sqrt,24,6,7,6,0.01650370174372224,0.0,0.7134738500935683,36
gini,best,,25,6,7,6,0.01650370174372224,0.0,0.7907613513247316,36
entropy,random,,25,6,7,6,0.01650370174372224,0.0,0.792169802028957,37
entropy,random,,25,6,7,7,0.01650370174372224,0.0,0.7977740569289866,37
gini,best,log2,26,6,8,6,0.01650370174372224,0.0,0.7219836501526642,37
entropy,best,,24,7,7,6,0.01650370174372224,0.0,0.8117896188318724,37
entropy,best,,25,6,8,6,0.01650370174372224,0.011287886004990777,0.8089924160346695,37
entropy,best,,24,7,7,6,0.01650370174372224,0.029690756819545108,0.7949867034374076,38
gini,best,log2,25,6,7,6,0.01650370174372224,0.0,0.7219836501526642,38
entropy,best,log2,24,7,7,5,0.031756336005795284,0.0,0.6882694770018715,38
entropy,best,,25,6,7,6,0.030696889454067122,0.0,0.7907613513247316,38
entropy,random,,24,7,7,6,0.01650370174372224,0.0,0.792169802028957,38
entropy,best,,25,6,7,5,0.01650370174372224,1.3954285828240451e-05,0.7992022062444597,39
entropy,random,,25,6,8,6,0.007917845841315607,0.0,0.792169802028957,39
entropy,best,,25,7,7,6,0.0,0.0,0.8019304639022948,39
entropy,best,,24,6,6,6,0.01650370174372224,0.0,0.8019994090416626,39
entropy,random,,24,7,7,6,0.020004880080150434,0.01939347351010607,0.792169802028957,39
gini,best,,25,6,8,6,0.01650370174372224,0.0,0.7907613513247316,39
entropy,best,log2,24,7,7,6,0.01650370174372224,0.0,0.7401654683344824,40
entropy,best,,25,7,6,9,0.01650370174372224,0.0,0.8089727174234216,40
entropy,best,,24,6,7,6,0.01650370174372224,0.0,0.8117896188318724,40
entropy,random,,24,8,7,6,0.01650370174372224,0.0,0.792169802028957,40
entropy,best,sqrt,25,6,7,5,0.027341223154754818,0.03169865141906855,0.6643258150300404,40
entropy,random,sqrt,24,6,7,6,0.01650370174372224,0.0,0.6643258150300404,40
entropy,best,,24,6,7,6,0.024661445996258954,0.0,0.7963853048360091,41
entropy,best,sqrt,24,5,7,6,0.01650370174372224,0.0,0.7134738500935683,41
entropy,best,,25,6,8,6,0.01650370174372224,0.0,0.8089924160346695,41
gini,best,,24,7,7,6,0.01650370174372224,0.0,0.7907613513247316,41
entropy,best,sqrt,26,6,7,5,0.01650370174372224,0.029021134029271756,0.7148823007977938,41
entropy,best,log2,25,6,7,6,0.0008779442540144365,0.0,0.7401654683344824,41
entropy,best,sqrt,24,6,7,6,0.018016820792682527,0.0,0.662917364325815,42
entropy,best,,24,6,7,6,0.011261280570403764,0.0,0.8019304639022948,42
entropy,best,,24,5,7,5,0.01650370174372224,0.0,0.7992022062444597,42
entropy,best,,23,6,7,9,0.012065284240698582,0.0,0.7962966610853935,42
entropy,random,,25,7,7,6,0.02807913309268778,0.022051560832456747,0.7907613513247316,42
entropy,best,,24,6,7,6,0.024252822467104345,0.0,0.7963853048360091,42
gini,random,,24,6,7,6,0.01650370174372224,0.0,0.772441642864178,43
entropy,random,,24,6,7,6,0.009217685076391422,0.0,0.792169802028957,43
entropy,best,,24,6,8,5,0.01650370174372224,0.0,0.7992022062444597,43
entropy,best,,24,6,7,5,0.01650370174372224,0.012806011362710354,0.7992022062444597,43
entropy,best,,24,6,7,6,0.0201148169906648,0.0,0.8019994090416626,43
entropy,best,,24,6,7,5,0.01650370174372224,0.0,0.7992022062444597,43
entropy,best,,24,6,7,7,0.01650370174372224,0.0,0.8089727174234216,43
entropy,best,,24,6,7,6,0.029510865761341196,0.012790896318364693,0.7907613513247316,43
entropy,best,log2,24,6,7,6,0.021564472927182686,0.0,0.7401654683344824,44
entropy,random,,23,6,7,6,0.004604921547825972,0.0,0.7851373978134542,44
gini,best,,24,6,7,5,0.01650370174372224,0.0,0.7907613513247316,44
entropy,best,,24,5,7,6,0.01650370174372224,0.0,0.8117896188318724,44
entropy,best,,24,6,7,6,0.03210212036843396,0.0,0.7907613513247316,44
gini,random,,24,7,7,7,0.01650370174372224,0.0,0.772441642864178,45
entropy,best,log2,23,6,7,6,0.01650370174372224,0.020882549744215596,0.7401654683344824,45
entropy,best,,25,6,7,6,0.01650370174372224,0.00558703588323998,0.8117896188318724,45
entropy,best,log2,24,6,7,6,0.01650370174372224,0.0,0.7401654683344824,45
